is_neutralizer,toggle_edges,odd_triangle_count,odd_slot_count,odd_triangles,odd_triangle_slots
True,"[[0, 1], [0, 4], [1, 2], [2, 3], [5, 10]]",0,0,[],[]
False,"[[0, 1], [0, 4], [1, 2], [2, 3], [5, 14]]",0,0,[],[]
False,"[[0, 1], [0, 4], [1, 2], [2, 3], [10, 14]]",0,0,[],[]
False,"[[0, 1], [0, 4], [1, 2], [2, 8], [5, 10]]",0,0,[],[]
False,"[[0, 1], [0, 4], [1, 2], [2, 8], [5, 14]]",0,0,[],[]
False,"[[0, 1], [0, 4], [1, 2], [2, 8], [10, 14]]",0,0,[],[]
False,"[[0, 1], [0, 4], [1, 2], [3, 8], [5, 10]]",0,0,[],[]
False,"[[0, 1], [0, 4], [1, 2], [3, 8], [5, 14]]",0,0,[],[]
False,"[[0, 1], [0, 4], [1, 2], [3, 8], [10, 14]]",0,0,[],[]
False,"[[0, 1], [0, 4], [1, 7], [2, 3], [5, 10]]",0,0,[],[]
False,"[[0, 1], [0, 4], [1, 7], [2, 3], [5, 14]]",0,0,[],[]
False,"[[0, 1], [0, 4], [1, 7], [2, 3], [10, 14]]",0,0,[],[]
False,"[[0, 1], [0, 4], [1, 7], [2, 8], [5, 10]]",0,0,[],[]
False,"[[0, 1], [0, 4], [1, 7], [2, 8], [5, 14]]",0,0,[],[]
False,"[[0, 1], [0, 4], [1, 7], [2, 8], [10, 14]]",0,0,[],[]
False,"[[0, 1], [0, 4], [1, 7], [3, 8], [5, 10]]",0,0,[],[]
False,"[[0, 1], [0, 4], [1, 7], [3, 8], [5, 14]]",0,0,[],[]
False,"[[0, 1], [0, 4], [1, 7], [3, 8], [10, 14]]",0,0,[],[]
False,"[[0, 1], [0, 4], [2, 3], [2, 7], [5, 10]]",0,0,[],[]
False,"[[0, 1], [0, 4], [2, 3], [2, 7], [5, 14]]",0,0,[],[]
False,"[[0, 1], [0, 4], [2, 3], [2, 7], [10, 14]]",0,0,[],[]
False,"[[0, 1], [0, 4], [2, 7], [2, 8], [5, 10]]",0,0,[],[]
False,"[[0, 1], [0, 4], [2, 7], [2, 8], [5, 14]]",0,0,[],[]
False,"[[0, 1], [0, 4], [2, 7], [2, 8], [10, 14]]",0,0,[],[]
False,"[[0, 1], [0, 4], [2, 7], [3, 8], [5, 10]]",0,0,[],[]
False,"[[0, 1], [0, 4], [2, 7], [3, 8], [5, 14]]",0,0,[],[]
False,"[[0, 1], [0, 4], [2, 7], [3, 8], [10, 14]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 2], [2, 3], [5, 10]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 2], [2, 3], [5, 14]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 2], [2, 3], [10, 14]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 2], [2, 8], [5, 10]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 2], [2, 8], [5, 14]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 2], [2, 8], [10, 14]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 2], [3, 8], [5, 10]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 2], [3, 8], [5, 14]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 2], [3, 8], [10, 14]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 7], [2, 3], [5, 10]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 7], [2, 3], [5, 14]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 7], [2, 3], [10, 14]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 7], [2, 8], [5, 10]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 7], [2, 8], [5, 14]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 7], [2, 8], [10, 14]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 7], [3, 8], [5, 10]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 7], [3, 8], [5, 14]]",0,0,[],[]
False,"[[0, 1], [0, 5], [1, 7], [3, 8], [10, 14]]",0,0,[],[]
False,"[[0, 1], [0, 5], [2, 3], [2, 7], [5, 10]]",0,0,[],[]
False,"[[0, 1], [0, 5], [2, 3], [2, 7], [5, 14]]",0,0,[],[]
False,"[[0, 1], [0, 5], [2, 3], [2, 7], [10, 14]]",0,0,[],[]
False,"[[0, 1], [0, 5], [2, 7], [2, 8], [5, 10]]",0,0,[],[]
